area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
Kilmarnock North,165,91,12790,39,465,1.82E0,1610,11762,4.79E1,5.9266E3,85,119265
Kilmarnock South,154,115,11117,29,640,3.34E0,1812,12790,8.11E1,9.3362E3,87,67906
Kilmarnock West and Crosshouse,172,213,16297,85,675,1.4E0,1547,11551,8.48E1,6.3035E3,262,127886
Kilpatrick,168,130,12995,51,545,1.17E0,1323,14820,9.29E1,8.2554E3,71,94985
Kilsyth,138,149,12191,28,405,2.92E0,1408,15672,1.318E2,9.4198E3,140,126140
Kilwinning,194,163,17265,62,725,1.34E0,1250,11700,9.16E1,7.4635E3,204,100655
Kincorth / Nigg / Cove,201,132,15843,93,195,1.23E0,1252,12118,1.011E2,5.1355E3,283,185195
Kingswells / Sheddocksley / Summerhill,227,138,14235,95,200,2.57E0,1542,12847,1.056E2,6.2029E3,192,188338
Kinross-shire,79,123,13129,51,185,1.52E0,1090,8556,9.91E1,3.4605E3,167,206068
Kintyre and the Islands,39,77,6654,20,95,4.96E0,1697,14155,5.09E1,5.5133E3,76,136221
Kirkcaldy Central,213,185,14608,81,725,3.08E0,1769,9543,1.093E2,6.4345E3,162,98641
Kirkcaldy East,180,202,14555,72,720,1.53E0,1627,10775,6.98E1,7.4838E3,163,99593
Kirkcaldy North,220,157,16121,99,450,2.5E0,1382,10581,1.167E2,5.4729E3,164,117141
Kirkintilloch East and Twechar,139,124,12694,57,505,1.89E0,1236,15239,2.94E1,9.3809E3,195,190430
Kirkwall East,47,33,4906,21,65,2.03E0,1700,20371,0,4.4595E3,48,118917
Kirkwall West and Orphir,36,60,3575,21,35,0,1628,26087,1.071E2,5.9116E3,49,138397
Kirriemuir and Dean,82,110,10699,46,185,8.8E-1,1123,10637,1.292E2,5.1326E3,112,164607
